id,fen,sol,turn,rating,n_moves
VbqeL,8/5p2/5k2/p7/4P3/8/rrRK1P2/2R5 b - - 0 35,b2c2 c1c2 a2c2,b,400,3
z6MRO,8/1RRrk1p1/3r1p1p/8/8/1P3K1P/6P1/8 w - - 0 38,c7d7 d6d7 b7d7,w,405,3
wCOXW,8/5p2/2pp4/4k1pp/4P3/1P3PPP/r1rRRK2/8 b - - 1 36,c2d2 e2d2 a2d2,b,431,3
iVWx3,4r3/p1RRr1kp/3p2p1/3B1p2/3b4/P5P1/6KP/8 w - - 6 34,d7e7 e8e7 c7e7,w,464,3
ys7wp,8/1p3kp1/7p/8/7P/3R1P2/rr1RK1P1/8 b - - 0 39,b2d2 d3d2 a2d2,b,478,3
rS8f1,8/8/4Pkp1/pp1P3p/2p1P3/P1P3Q1/1r3rPK/8 b - - 0 43,f2g2 g3g2 b2g2,b,480,3
u7f2A,8/2RR1pk1/1p4p1/7p/PP2p3/8/5qPK/8 w - - 0 35,d7f7 f2f7 c7f7,w,482,3
zk8sQ,8/8/p2p2Q1/1p1P4/5kP1/PP6/1KP1rr2/8 b - - 8 46,e2c2 g6c2 f2c2,b,499,3
iwXpN,8/RR3pk1/2p3p1/8/3Pp2p/4Pq2/P4P1K/8 w - - 2 32,b7f7 f3f7 a7f7,w,504,3
4II16,8/1R1R1pr1/4p3/4Pk2/3K1P1r/8/8/8 w - - 1 52,d7f7 g7f7 b7f7,w,512,3
h4aec,4k3/5p2/4pQ2/4P3/6P1/8/2rr1PK1/8 b - - 0 50,d2f2 f6f2 c2f2,b,527,3
Vfwba,7r/ppR2R2/2b1p1p1/6Pk/P2p3P/1r3P1K/8/8 w - - 1 46,f7h7 h8h7 c7h7,w,529,3
UphnK,1k6/ppb2p2/2p2P2/6N1/1P4B1/P4P1K/1rr5/R6R b - - 2 33,c2h2 h1h2 b2h2,b,535,3
pC4Ja,8/3R4/1p6/4p1k1/4Pp2/2R2P2/rrB2K2/8 b - - 0 42,b2c2 c3c2 a2c2,b,535,3
US8pF,6k1/p4Rp1/7p/8/4P3/6P1/r2r1RKP/8 b - - 0 38,d2f2 f7f2 a2f2,b,536,3
mSAi6,8/1R6/6k1/6p1/5pK1/5P2/r1r3PR/8 b - - 1 89,c2g2 h2g2 a2g2,b,539,3
p16b8,8/R2R1pk1/4p1p1/2p5/5q1p/7P/P4PP1/6K1 w - - 0 32,d7f7 f4f7 a7f7,w,542,3
RjqzJ,8/kp2R2R/p1p2pp1/P7/1q6/5PP1/7P/5K2 w - - 0 37,e7b7 b4b7 h7b7,w,544,3
